Water_Body,pH,Turbidity_NTU,Temperature_C,Dissolved_Oxygen_mgL,Conductivity_uS,Bacteria_CFU_100mL,Potability,Organic_Carbon_mgL,Ammonia_mgL,Nitrates_mgL,Nitrites_mgL,Sulfate_mgL,Solids_ppm
Reservoir,6.93,25.23,21.5,7.28,1125.7,1300.0,1,13.62,1.79,29.55,0.51,404.21,3107.21
Reservoir,6.21,45.24,10.4,4.48,254.3,3979.0,1,16.82,0.93,15.37,1.73,85.28,38276.7
Pond,8.26,31.81,8.0,7.41,1203.2,2419.0,1,3.85,2.62,22.22,2.96,335.58,6111.89
Reservoir,7.96,21.38,14.3,10.82,1129.6,1896.0,1,16.82,0.18,21.16,1.78,469.14,32886.68
Reservoir,8.38,3.05,13.7,8.19,1139.8,4426.0,0,1.76,3.07,20.2,2.19,268.36,20337.94
Lake,8.82,38.01,14.2,10.23,1210.9,4207.0,0,15.74,2.01,18.83,0.44,367.83,12308.51
Pond,7.76,28.11,34.9,10.58,1409.2,4454.0,1,8.41,1.25,19.74,0.14,369.57,41036.89
Ocean,8.36,33.98,21.1,4.24,572.8,2595.0,1,16.09,4.02,11.18,2.04,89.46,40425.69
Pond,6.6,16.21,32.1,9.38,1093.7,3774.0,0,11.09,0.48,37.77,1.62,85.31,17383.18
Ocean,7.23,13.22,25.0,4.32,543.1,2025.0,1,9.01,2.51,32.51,1.01,266.56,38961.98
Lake,7.59,31.88,7.7,7.41,781.0,580.0,1,14.83,4.17,9.73,0.85,491.61,176.31
River,7.62,21.46,17.4,7.8,560.5,1036.0,1,17.11,1.7,36.91,0.7,334.06,10535.82
Reservoir,8.16,17.87,22.2,7.41,544.3,3642.0,1,4.67,3.88,28.76,1.1,391.21,35350.31
Lake,8.39,10.99,27.2,5.73,829.1,1459.0,0,8.28,0.78,11.99,0.61,359.39,1393.63
Reservoir,8.0,20.63,24.4,11.38,461.1,279.0,1,10.51,1.38,3.94,0.32,40.06,41752.52
River,6.14,46.73,29.9,6.87,141.3,561.0,1,15.32,2.13,15.5,2.48,162.52,15944.57
River,7.05,5.92,25.7,9.57,556.6,3391.0,0,15.0,1.69,36.4,2.96,193.81,13739.65
Lake,7.72,8.54,5.6,6.84,1051.1,330.0,0,8.21,2.58,36.36,2.45,329.05,10063.37
River,7.52,30.47,7.3,7.23,950.6,4460.0,0,15.35,2.31,43.94,2.35,456.84,49238.62
Ocean,6.13,12.41,25.3,5.73,1263.6,156.0,0,18.01,4.65,43.52,0.36,43.68,4085.94
River,8.94,43.64,22.2,5.48,270.0,3946.0,1,12.98,4.08,18.77,1.9,497.8,21188.55
Reservoir,8.87,42.6,11.3,4.64,1231.3,3571.0,1,9.66,0.65,19.19,2.8,25.65,29151.61
Reservoir,8.32,21.28,13.3,3.5,777.6,973.0,1,5.15,0.56,18.64,1.4,332.12,935.44
Reservoir,6.17,34.18,16.1,9.64,511.9,1638.0,1,5.18,0.05,27.23,1.75,452.31,8296.46
Reservoir,7.29,38.92,21.1,5.31,371.6,2249.0,0,5.35,2.92,29.24,0.91,227.54,38815.04
Ocean,7.23,16.86,35.0,11.93,1229.6,583.0,1,15.76,0.79,2.07,2.99,252.53,44601.04
Pond,7.67,16.25,33.7,11.11,1124.8,3791.0,0,6.99,1.56,35.98,0.34,343.68,31527.16
Lake,6.17,0.63,19.0,9.37,957.0,3928.0,1,1.06,4.28,24.74,2.33,357.84,12670.61
Reservoir,7.27,12.13,26.7,10.21,543.5,2602.0,0,1.88,3.52,22.48,2.1,277.79,30360.82
River,8.27,34.23,10.4,10.58,320.1,3265.0,0,3.83,0.39,29.56,1.41,119.4,44050.43
Reservoir,8.99,22.42,15.3,6.74,1138.2,4365.0,0,17.15,4.61,41.04,0.26,17.1,8048.59
River,7.79,31.72,32.3,7.46,419.0,2909.0,1,8.42,4.35,38.03,0.21,401.55,3398.18
River,8.82,11.68,9.0,4.09,1064.9,4508.0,1,16.07,2.91,13.02,0.81,128.96,15627.24
Reservoir,9.0,30.66,30.6,5.08,1035.5,4321.0,1,8.23,4.66,33.92,0.42,283.04,38821.35
Ocean,7.3,12.61,6.6,5.88,716.8,447.0,1,5.62,1.76,37.16,0.5,349.33,24849.04
River,8.01,35.45,13.9,3.44,1089.7,1010.0,0,12.15,3.76,39.06,1.61,464.1,47062.2
River,6.64,8.25,13.0,8.65,1078.0,4415.0,0,15.0,4.37,38.93,1.05,255.59,34419.3
Reservoir,7.43,14.83,22.9,9.03,742.6,2266.0,1,1.52,0.82,26.15,0.63,90.65,40966.81
River,6.24,10.72,11.8,4.25,1473.0,4013.0,1,3.09,4.88,33.01,2.53,469.12,34661.43
River,6.09,1.75,11.0,3.73,758.3,3668.0,0,11.63,0.62,40.78,0.52,396.38,37426.24
Reservoir,8.68,45.65,23.4,10.5,1427.5,4627.0,1,15.72,4.86,42.06,1.7,82.55,21109.61
Reservoir,8.58,4.24,33.2,10.66,979.5,4019.0,0,7.05,2.47,11.99,1.12,475.92,37920.34
Lake,6.94,21.06,5.1,7.4,1333.9,3062.0,1,1.67,0.08,7.7,2.29,236.82,14861.48
Ocean,7.37,18.04,33.3,11.71,569.6,1215.0,1,14.77,4.15,4.35,2.48,222.26,17598.91
Ocean,7.48,9.53,14.7,6.83,542.6,3941.0,0,6.05,2.07,16.07,2.97,448.19,12258.25
River,7.56,22.49,11.0,3.54,798.7,1427.0,1,0.1,2.43,22.03,1.23,113.94,9739.99
Ocean,6.4,25.44,17.9,7.12,345.4,2324.0,1,6.5,0.65,12.89,0.41,26.05,40966.53
River,8.33,13.69,34.9,9.68,827.1,579.0,1,2.18,2.21,48.71,1.81,119.96,43854.24
Lake,7.04,26.55,22.1,10.38,251.7,3252.0,1,17.75,3.27,48.75,0.17,485.94,46734.31
Reservoir,6.1,32.29,32.4,10.22,178.5,420.0,0,10.08,1.21,43.57,2.08,50.47,22011.94
Reservoir,8.03,26.26,25.8,3.36,195.9,1426.0,1,9.21,3.46,47.51,1.86,234.46,43484.08
Reservoir,8.49,44.95,23.6,11.85,1048.4,147.0,0,19.36,2.14,41.71,0.82,245.49,1109.4
Ocean,8.75,7.29,9.6,3.46,1409.9,3872.0,1,2.32,0.39,49.02,2.25,124.11,28617.03
Lake,8.02,42.03,17.9,3.79,1013.2,3147.0,0,14.48,4.66,42.12,1.76,267.2,38045.99
Ocean,6.57,7.71,20.6,4.05,161.9,1737.0,1,19.06,4.82,43.69,2.67,167.7,28123.13
Ocean,7.77,21.79,29.4,11.45,324.7,505.0,1,17.07,1.92,21.57,1.05,415.25,8937.95
Lake,8.74,8.07,28.7,7.38,138.4,3216.0,1,14.76,1.97,11.47,0.71,495.57,18899.13
Lake,7.05,30.42,31.5,10.07,401.0,3550.0,0,16.8,1.26,44.19,1.94,447.68,36119.93
Lake,8.86,17.61,29.9,4.26,273.9,3003.0,1,14.56,2.45,18.49,0.96,332.23,44094.9
Lake,6.29,22.87,30.7,6.23,928.9,3195.0,0,3.46,2.94,22.63,0.06,214.19,32932.62
Reservoir,8.18,8.62,5.1,8.33,71.5,1685.0,1,13.85,0.28,36.2,1.34,286.25,39178.86
Pond,6.36,23.93,10.4,10.17,567.2,1081.0,1,18.83,3.1,38.82,1.7,56.86,12728.6
Pond,8.4,36.95,8.1,11.59,264.0,2235.0,1,10.0,0.03,37.76,2.27,471.76,41582.04
Lake,6.29,46.76,8.3,11.64,1334.8,1097.0,0,18.03,2.46,24.49,1.46,274.3,22960.75
Pond,6.98,14.56,8.2,8.29,589.8,4560.0,1,5.13,1.22,32.46,2.39,485.46,10217.38
Pond,8.33,21.98,18.9,11.34,1104.1,986.0,0,16.23,1.7,33.32,2.48,326.07,22614.28
Lake,7.38,39.25,17.8,3.08,613.0,1763.0,0,2.85,3.02,26.12,0.01,87.14,2377.77
Pond,8.65,28.11,17.3,11.24,200.0,3900.0,1,2.06,0.33,15.32,2.9,73.64,44400.9
Ocean,7.21,37.12,11.3,5.24,1309.1,879.0,1,11.56,2.64,39.27,1.99,413.92,29707.99
River,8.98,39.36,17.9,5.07,414.8,3294.0,0,13.75,4.59,0.64,2.15,366.85,4678.79
River,6.06,36.82,8.9,11.65,1069.0,3756.0,0,10.78,0.83,39.57,2.12,270.69,37751.53
Lake,8.09,47.62,28.5,11.33,1377.3,3307.0,0,12.32,3.0,25.48,2.58,330.43,7706.87
Reservoir,8.75,36.71,29.2,9.04,1145.5,4783.0,1,12.54,2.17,28.84,1.66,488.56,28202.31
Lake,7.61,6.4,30.3,9.13,945.1,4200.0,0,12.13,4.89,16.3,1.8,245.02,46105.08
Reservoir,8.97,40.16,34.8,3.23,85.1,1992.0,1,16.07,0.25,3.05,2.35,476.73,33661.77
River,8.12,4.91,6.1,11.56,776.6,2312.0,0,8.08,4.22,22.32,2.54,15.57,26189.45
Lake,7.29,20.15,22.1,7.24,1089.0,2225.0,1,13.05,0.07,26.12,1.94,228.85,29958.5
Ocean,7.55,17.88,12.3,3.22,1196.0,2462.0,1,16.58,1.88,2.04,0.24,20.74,13110.47
Pond,8.63,8.26,17.1,5.48,71.9,3607.0,0,3.6,0.63,35.35,0.18,463.08,45355.86
Reservoir,8.87,5.82,30.0,6.68,1217.0,3566.0,1,18.78,3.53,26.68,2.96,275.68,35724.22
Pond,7.67,14.82,12.0,3.49,493.3,1125.0,0,13.95,1.89,16.87,2.9,335.76,43743.34
Pond,6.92,34.48,31.5,5.2,352.6,3859.0,0,9.07,3.1,26.44,2.34,353.21,8062.62
Lake,6.72,10.69,27.7,6.48,941.9,386.0,1,17.81,3.21,37.46,2.47,238.93,33225.04
Pond,7.43,48.52,15.1,6.1,1382.9,3870.0,1,7.06,2.6,1.56,2.28,246.15,27612.59
Ocean,6.89,0.75,14.3,7.25,1028.8,1377.0,1,13.23,3.08,22.93,2.47,227.06,4110.31
Pond,7.26,28.67,13.5,9.1,975.5,3376.0,0,3.73,1.79,18.45,0.36,484.03,29946.64
Lake,8.5,28.16,6.6,10.15,1212.0,2472.0,0,13.71,1.56,42.84,1.0,264.79,18883.69
Ocean,7.42,14.08,6.3,7.94,413.8,1256.0,0,1.28,0.18,26.36,1.27,117.23,13617.63
River,7.92,29.98,10.8,4.62,237.3,2857.0,0,4.54,2.18,23.46,1.88,448.38,46189.99
Pond,6.27,28.28,27.1,8.4,298.7,1028.0,1,6.51,0.71,14.31,0.81,491.94,17591.22
Lake,8.29,34.55,27.5,9.5,719.1,2180.0,1,12.58,1.82,20.18,0.64,230.74,36230.38
River,7.45,43.72,24.5,7.41,651.3,4392.0,1,6.28,2.91,25.88,2.97,428.6,25530.06
River,7.08,5.47,23.0,11.71,637.3,1554.0,0,17.62,4.2,48.38,0.97,70.66,2275.07
Reservoir,7.83,41.85,7.3,9.54,1113.8,4946.0,1,17.45,0.5,23.45,0.77,49.56,15706.18
Ocean,6.31,1.51,7.9,8.78,948.5,699.0,1,18.45,2.1,7.94,0.62,88.49,3372.24
Pond,7.24,3.55,23.4,3.15,1412.6,2512.0,0,7.67,0.31,2.0,2.41,341.64,22946.0
Lake,8.43,45.42,26.7,4.88,254.3,307.0,0,6.93,3.12,33.44,1.07,198.59,25599.03
Reservoir,6.79,35.43,9.0,9.14,325.7,4589.0,0,7.38,0.14,36.03,1.19,267.39,12506.6
Ocean,8.74,32.31,12.3,9.05,445.2,2404.0,1,13.92,4.27,26.69,0.84,474.55,47618.26
Reservoir,7.81,26.13,20.2,3.97,875.6,2051.0,0,17.76,1.25,4.84,0.1,149.03,37634.54
Ocean,7.62,39.11,10.6,11.4,316.5,3565.0,0,6.14,2.93,33.24,1.28,498.29,6679.05
Ocean,7.2,36.58,8.5,6.18,390.5,1718.0,1,11.81,0.57,17.17,2.89,197.1,21925.19
Pond,8.23,17.52,31.2,8.45,411.6,1430.0,0,9.72,1.05,36.92,2.06,363.9,7137.79
Ocean,7.69,25.02,11.7,9.99,252.8,3421.0,1,19.73,4.72,27.53,1.98,81.52,4462.71
Reservoir,8.39,24.38,6.6,10.56,874.4,301.0,0,17.27,1.43,27.86,0.31,7.34,46886.94
Ocean,7.0,21.97,32.2,4.12,464.4,210.0,1,16.34,3.76,49.43,1.56,458.23,14720.04
Pond,8.11,34.25,6.7,5.68,579.7,960.0,1,14.88,3.35,16.81,0.01,155.67,45061.73
Pond,8.83,40.65,27.2,8.29,733.9,293.0,1,7.39,1.69,13.01,1.8,272.43,1824.16
Reservoir,6.84,47.79,31.5,4.78,867.5,3456.0,1,14.85,4.81,14.73,0.74,369.04,5134.38
River,8.94,20.94,16.5,11.28,1094.2,2059.0,1,6.98,4.19,1.05,1.56,365.63,26796.3
River,7.23,35.08,15.4,5.66,557.1,4886.0,1,5.22,3.45,16.28,0.69,237.76,48217.21
Ocean,6.12,28.37,10.8,5.5,655.8,1389.0,0,7.19,3.4,37.91,1.17,15.28,28944.43
Lake,7.07,9.46,16.3,5.55,327.0,2451.0,1,16.1,3.93,20.37,1.12,6.97,47546.85
Ocean,6.45,15.62,18.4,5.03,472.1,578.0,1,6.88,4.7,3.68,0.63,405.36,40167.94
Reservoir,6.91,42.53,8.8,10.36,78.7,2619.0,1,5.87,1.57,16.69,2.91,349.86,38828.19
Reservoir,6.29,40.48,11.5,4.91,1013.6,1135.0,0,2.58,0.87,3.44,2.59,312.86,10712.46
Reservoir,6.53,42.65,16.2,3.61,293.7,2930.0,1,19.19,3.69,25.39,2.84,133.85,25641.9
Reservoir,6.38,2.61,16.0,6.99,820.1,2869.0,0,2.65,0.35,26.78,0.91,241.56,24550.35
Reservoir,6.13,49.5,9.2,9.73,1301.3,4745.0,1,5.3,1.68,42.29,0.28,214.89,41865.97
Pond,6.89,28.08,34.2,10.72,335.1,1991.0,0,13.83,0.62,43.51,2.18,212.59,4069.87
River,8.82,25.55,31.5,11.74,487.7,1756.0,1,5.28,4.16,34.51,1.84,425.21,24130.96
Reservoir,8.85,36.85,31.7,6.76,1287.4,3198.0,0,7.24,0.79,25.19,1.02,79.72,28337.45
Lake,8.54,7.02,9.3,6.64,695.0,109.0,0,7.23,0.69,11.41,0.76,115.93,22831.56
Lake,6.04,11.81,19.6,11.24,165.4,2417.0,1,18.51,3.93,36.18,1.15,125.1,44637.47
Lake,6.08,47.13,25.6,10.97,313.9,4305.0,0,16.47,0.74,5.79,0.53,493.69,28430.29
Lake,6.03,10.74,6.3,6.61,776.3,4956.0,0,4.93,0.69,49.15,1.65,105.73,26747.13
Pond,7.1,17.16,5.7,10.06,355.2,4674.0,0,14.06,1.11,30.57,0.36,8.19,23022.42
Lake,8.94,12.69,10.8,11.44,1392.0,1653.0,1,19.98,4.17,2.84,1.63,37.98,19445.91
Reservoir,8.69,24.43,16.0,10.17,318.5,3814.0,0,15.92,1.41,1.77,0.38,355.36,39225.02
Ocean,6.75,40.3,9.0,11.75,269.2,2098.0,0,0.74,4.53,10.93,2.27,415.07,5331.21
Lake,7.23,41.96,10.2,9.76,1394.1,1563.0,1,13.68,4.87,25.37,0.59,401.54,34169.33
Pond,8.47,16.59,29.5,7.19,61.9,3424.0,1,3.36,4.8,0.61,0.41,475.37,27635.65
Pond,8.28,4.17,28.9,8.46,860.7,3541.0,1,4.62,3.39,26.23,0.92,360.72,35565.25
Lake,6.4,6.07,28.3,8.65,1377.4,4709.0,0,7.47,2.58,29.49,0.07,195.43,42256.52
Ocean,6.32,40.92,12.2,7.53,185.8,2870.0,1,13.9,3.74,6.28,1.75,307.87,34775.49
Lake,7.63,21.72,11.6,3.54,1079.0,3797.0,1,17.5,2.63,14.91,1.24,8.29,39945.84
Pond,6.31,41.15,31.6,9.71,868.1,2374.0,0,13.28,4.46,39.97,1.95,37.12,37012.08
River,8.48,1.2,31.0,4.83,1044.1,1702.0,0,9.05,3.7,34.43,0.2,80.99,18819.83
Reservoir,6.76,2.23,16.0,8.28,1397.6,2489.0,1,14.89,2.28,28.88,1.14,160.61,20743.55
Pond,6.56,16.12,22.3,4.19,946.3,2452.0,1,4.53,0.15,4.6,1.1,234.03,11483.24
Lake,6.56,10.61,26.5,4.05,1430.5,1762.0,1,5.91,1.5,8.86,2.74,339.56,29217.57
Reservoir,6.14,32.44,33.0,10.77,1181.6,1510.0,1,5.8,0.42,10.71,2.53,469.9,10454.0
Lake,7.93,29.47,6.8,5.75,1081.4,3132.0,0,1.99,0.35,41.23,2.47,436.05,43064.61
Lake,6.49,44.77,22.1,9.76,1239.1,3740.0,1,4.68,3.56,2.08,0.41,307.01,25669.87
River,6.7,39.53,32.5,11.25,1136.7,3146.0,0,14.33,3.41,39.8,0.28,210.11,49085.27
Reservoir,8.25,5.49,12.9,4.39,293.3,446.0,1,6.04,3.67,8.26,0.73,307.32,46451.48
Reservoir,6.17,44.41,7.3,3.05,1410.4,1335.0,0,16.63,1.69,24.77,0.84,125.15,10382.41
River,6.61,6.44,8.7,3.2,750.8,327.0,0,12.05,0.25,46.75,1.23,16.63,2925.78
Pond,6.45,10.24,7.9,6.84,658.4,395.0,0,0.43,1.47,38.64,0.63,44.99,22172.12
Lake,6.01,25.51,7.2,11.12,427.0,773.0,1,8.66,0.95,15.98,0.24,254.94,33134.3
Ocean,7.62,6.02,10.1,6.91,355.7,3692.0,0,7.34,3.07,11.34,1.11,344.24,30493.09
Lake,6.57,11.73,25.3,7.14,620.7,950.0,0,2.66,2.55,26.85,0.94,295.79,40902.84
Lake,7.9,22.66,5.8,9.07,934.0,691.0,0,12.03,1.87,46.85,1.41,137.74,7209.27
Pond,7.51,12.8,14.6,11.95,1367.8,3485.0,0,13.15,0.73,24.63,0.74,239.66,48289.25
Lake,8.0,47.36,19.4,7.08,88.3,2708.0,0,9.32,0.67,18.3,1.48,274.05,3085.6
River,8.94,8.52,10.4,3.14,686.8,59.0,1,8.33,4.74,18.65,2.68,436.81,44818.82
River,6.66,28.87,8.8,5.39,603.2,633.0,1,4.63,3.15,10.51,2.65,292.66,30796.65
Reservoir,8.0,25.14,6.8,9.51,898.8,4494.0,0,1.8,3.23,33.89,1.15,226.05,37175.71
Ocean,8.5,22.9,35.0,7.67,676.9,4075.0,0,14.61,3.68,30.26,0.79,226.99,4834.52
Lake,8.87,12.07,9.4,6.41,1398.1,392.0,0,19.07,1.49,46.66,1.64,97.47,29368.87
Lake,7.87,9.94,25.5,5.37,540.0,3483.0,0,0.14,4.25,8.98,2.36,77.7,33367.25
Pond,6.39,15.53,25.0,6.5,1192.4,1744.0,0,5.34,2.56,35.35,0.24,215.85,47426.76
River,6.16,29.83,23.1,4.51,458.3,2436.0,0,2.57,3.71,41.49,1.04,402.48,5966.52
Ocean,6.84,29.25,28.1,4.78,561.3,4299.0,1,6.14,3.54,1.79,2.82,292.15,6885.42
Reservoir,8.78,38.74,15.9,7.69,820.9,159.0,0,2.89,4.73,27.72,2.51,45.6,34041.0
River,7.61,15.52,22.5,11.56,1106.5,2432.0,0,14.43,3.79,36.6,2.79,435.5,2601.07
Reservoir,7.74,35.63,10.0,9.54,202.3,1115.0,1,16.86,4.55,45.43,0.91,107.26,43305.79
Pond,7.83,44.17,16.3,6.06,897.6,3212.0,0,14.52,2.81,34.08,2.17,413.38,30267.33
Pond,7.0,42.97,34.2,6.49,354.1,2458.0,0,2.75,1.04,27.33,2.33,253.11,34871.75
Lake,6.54,23.55,23.8,6.26,180.9,46.0,0,4.18,2.33,26.57,1.38,295.45,31545.46
Ocean,8.86,33.24,10.2,8.87,709.1,3568.0,0,3.29,3.95,38.68,2.67,216.72,41677.84
Reservoir,8.27,41.66,32.7,10.59,317.9,121.0,0,9.0,4.47,46.03,0.38,379.8,8287.99
River,7.53,8.18,17.6,7.77,295.4,1363.0,0,5.8,4.31,0.67,2.18,319.86,34273.76
Pond,7.13,47.89,15.8,5.0,509.5,3250.0,0,7.51,0.38,41.66,1.76,54.75,1935.43
Lake,7.45,30.31,17.5,10.93,376.2,2437.0,1,12.57,1.64,31.57,0.68,140.96,43255.66
Lake,6.1,14.48,19.1,3.82,111.6,4808.0,0,5.88,0.44,26.53,0.44,481.8,42995.48
Reservoir,6.74,26.44,15.4,5.14,110.5,2631.0,0,8.56,2.11,47.0,2.25,343.65,12295.32
Pond,6.75,36.96,10.5,7.46,250.8,1730.0,1,16.53,0.13,7.43,2.62,94.31,34495.15
Ocean,7.34,41.15,9.4,4.35,309.5,3768.0,1,1.29,4.28,30.52,0.28,17.41,13082.01
Pond,6.71,15.75,20.9,8.04,558.5,3282.0,0,15.03,2.46,23.51,2.25,80.82,15377.1
Reservoir,6.56,17.44,12.0,5.96,194.2,733.0,1,16.56,4.56,25.65,0.82,499.75,44190.15
Reservoir,8.3,40.98,31.6,6.52,716.5,2768.0,0,7.67,4.57,21.32,1.66,471.68,14590.21
Pond,8.68,42.05,32.3,7.03,1498.6,453.0,0,18.4,2.51,45.39,1.46,57.35,34490.98
Reservoir,6.2,34.52,15.0,9.12,1086.3,3020.0,1,15.01,3.87,17.74,2.6,211.24,45070.41
Pond,6.63,34.33,10.2,4.4,253.4,456.0,0,9.37,4.96,12.14,1.75,393.6,30332.34
River,8.32,12.94,28.3,11.71,1167.5,2626.0,1,9.05,0.14,12.68,2.39,307.77,26527.7
Pond,8.45,47.83,8.0,4.58,1395.8,2902.0,0,9.57,1.47,5.25,0.84,52.01,33942.25
Pond,7.5,42.59,31.6,5.08,1186.8,2984.0,1,9.12,0.22,37.38,2.92,453.92,8548.17
Reservoir,8.08,43.65,16.6,3.02,585.2,4265.0,1,6.31,2.37,10.73,0.1,431.23,35614.72
Reservoir,6.23,10.18,12.0,11.68,1041.9,1131.0,1,4.15,3.48,31.46,2.37,54.19,38960.79
Lake,8.55,49.2,30.6,6.99,1252.8,2595.0,1,12.69,1.06,6.13,0.41,34.34,47258.07
Lake,8.5,22.55,24.3,8.0,268.3,1512.0,0,7.48,1.7,31.43,0.85,232.77,34160.38
River,8.08,34.25,5.8,11.86,954.6,2408.0,0,3.01,2.72,32.49,0.08,379.78,29743.65
Lake,8.75,44.98,34.1,10.54,420.0,813.0,0,10.78,1.72,20.33,2.78,48.32,18257.85
Pond,6.14,5.49,34.4,11.36,1218.3,1055.0,1,18.68,3.25,34.89,2.68,357.53,19687.29
Reservoir,6.69,16.25,30.3,10.2,756.5,4224.0,0,13.72,2.4,12.04,1.47,44.48,43054.64
Lake,7.09,18.73,30.0,8.8,1331.4,3249.0,1,18.81,0.77,39.94,1.75,381.64,39622.8
Lake,6.48,38.81,8.3,6.13,516.5,1647.0,0,14.68,3.56,44.96,0.11,89.16,6017.75
River,8.44,15.13,7.9,4.95,796.3,4048.0,0,14.21,0.25,47.7,0.43,319.6,46145.44
River,8.27,19.84,6.8,6.81,152.2,2161.0,0,14.52,0.97,12.86,2.74,317.01,45803.13
Pond,8.32,19.29,14.6,10.63,218.7,3024.0,1,18.12,1.46,0.57,1.81,172.58,41656.69
Reservoir,6.87,45.64,11.4,11.78,401.7,3137.0,1,7.36,0.27,9.49,2.77,320.34,39749.97
River,8.29,0.67,14.6,11.37,1384.6,1186.0,0,16.85,2.49,27.11,1.19,53.91,20877.51
Lake,6.37,7.45,24.7,6.91,624.4,2320.0,0,7.98,0.04,9.14,2.95,28.71,27366.97
Reservoir,6.32,46.45,13.0,4.7,344.5,3160.0,1,1.88,3.41,4.69,1.9,337.75,34424.4
Reservoir,7.75,30.68,19.6,6.49,1472.2,3160.0,1,17.97,1.52,0.13,2.03,329.82,2557.33
Lake,6.15,4.99,25.4,11.65,359.9,3811.0,1,3.53,3.51,37.59,1.58,468.41,34263.98
River,8.82,23.97,9.6,11.29,747.0,2837.0,1,2.93,4.44,13.99,2.99,154.66,1795.98
Lake,6.99,46.88,34.7,6.93,1242.5,1398.0,1,16.99,4.57,15.81,2.11,437.25,41502.52
Reservoir,7.43,37.92,31.0,4.58,310.1,79.0,0,14.14,4.37,16.62,2.72,440.17,16108.69
Ocean,8.44,13.17,27.1,10.57,1323.9,2641.0,0,12.44,0.78,28.68,0.35,331.32,4483.65
Ocean,7.2,22.01,34.7,8.86,1199.5,520.0,0,16.06,2.74,6.51,0.59,407.52,11435.77
Pond,7.29,24.79,7.5,5.39,1385.8,1203.0,0,7.78,0.51,48.68,2.75,87.1,17700.64
Lake,7.04,38.36,6.6,9.9,843.1,1040.0,0,14.89,4.3,48.45,1.08,231.04,37300.07
Lake,7.06,39.02,12.7,11.55,771.7,2607.0,0,5.33,4.59,21.86,0.37,499.18,38423.51
